Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;BedarfsGem. -insgesamt;BedarfsGem. -1 Person-;BedarfsGem. -2 Personen-;BedarfsGem. -3 u.mehr Personen-;Single-BG;Alleinerziehenden-BG;Partner-BG ohne Kinder;Partner-BG mit Kindern;BG mit Zahlungsanspruch Gesamtregelleistung;BG mit Zahlungsanspruch KdU;Personen in BG - insgesamt;Kinder in BG - insgesamt;Leistungsberechtigte (LB) - insgesamt;Nicht Leistungsberechtigte (NLB) - insgesamt;Regelleistungsberechtigte (RLB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - Männer;Erwerbsfähige Leistungsberechtigte (ELB) - Frauen;Erwerbsfähige Leistungsberechtigte (ELB) - Deutsche;Erwerbsfähige Leistungsberechtigte (ELB) - Ausländer;Erwerbsfähige Leistungsberechtigte (ELB) - unter 25 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 25 bis unter 35 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 35 bis unter 45 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 45 bis unter 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - über 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - alleinerziehend;Erwerbsfähige Leistungsberechtigte (ELB) - erwerbstätig;"Nichterwerbsfähige Leistungsberechtigte (NEF) - insgesamt ";Sonstige Leistungsberechtigte (SLB) - insgesamt
2018;1. Quartal;StB 0 Altstadt;3414;2098;602;714;2096;420;318;517;3405;3333;6109;1689;5924;185;5888;4426;2377;2049;2571;1845;756;1236;870;775;789;412;1238;1462;36
2018;1. Quartal;StB 1 Neustadt;2513;1698;389;426;1694;452;115;215;2506;2440;4002;1086;3875;127;3830;2936;1633;1303;2270;658;437;898;729;487;385;436;1030;894;45
2018;1. Quartal;StB 2 Pieschen;2809;1640;582;587;1637;651;177;301;2792;2720;4936;1562;4787;149;4726;3415;1627;1788;3009;406;458;986;809;580;582;637;1176;1311;61
2018;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;593;391;103;99;391;109;37;48;592;557;957;257;928;29;917;708;389;319;652;55;88;177;148;138;157;108;224;209;11
2018;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;532;367;83;82;367;79;38;45;531;504;842;212;806;36;799;630;349;281;551;77;79;142;153;130;126;77;208;169;7
2018;1. Quartal;StB 5 Blasewitz;2659;1607;569;483;1601;530;197;284;2644;2580;4451;1243;4296;155;4242;3227;1565;1662;2643;580;465;820;700;624;618;525;1090;1015;54
2018;1. Quartal;StB 6 Leuben;1510;899;323;288;899;341;103;148;1508;1466;2593;786;2476;117;2452;1830;857;973;1668;162;287;441;375;352;375;340;527;622;24
2018;1. Quartal;StB 7 Prohlis;4026;2560;613;853;2558;647;255;507;4013;3929;7090;2159;6887;203;6837;5022;2775;2247;3629;1368;875;1367;1038;893;849;643;1246;1815;50
2018;1. Quartal;StB 8 Plauen;2357;1435;332;590;1435;312;156;431;2352;2304;4515;1453;4402;113;4378;3114;1722;1392;1635;1455;669;959;611;468;407;310;736;1264;24
2018;1. Quartal;StB 9 Cotta/westliche Ortschaften;5214;3305;918;991;3293;906;376;553;5189;5081;8884;2561;8613;271;8524;6360;3426;2934;4988;1359;1070;1789;1328;1041;1132;902;1826;2164;89
2018;1. Quartal;unbekannt;369;356;5;8;356;5;2;5;365;34;397;17;395;2;395;379;292;87;351;28;86;152;87;35;19;5;29;16;0
2018;2. Quartal;StB 0 Altstadt;3370;2060;588;722;2054;409;317;526;3352;3268;6083;1708;5896;187;5832;4378;2371;2007;2509;1859;758;1229;862;769;760;402;1216;1454;64
2018;2. Quartal;StB 1 Neustadt;2442;1650;376;416;1647;436;111;211;2427;2356;3895;1067;3747;148;3690;2842;1571;1271;2191;641;415;884;706;468;369;423;978;848;57
2018;2. Quartal;StB 2 Pieschen;2745;1626;565;554;1620;628;177;276;2731;2657;4762;1474;4618;144;4552;3313;1604;1709;2923;390;439;931;782;580;581;614;1176;1239;66
2018;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;566;367;104;95;367;110;35;46;565;531;921;257;881;40;873;675;366;309;625;49;86;168;155;121;145;109;216;198;8
2018;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;511;348;76;87;348;75;36;47;510;486;834;222;801;33;793;615;338;277;536;78;75;142;150;124;124;73;204;178;8
2018;2. Quartal;StB 5 Blasewitz;2604;1570;565;469;1566;522;192;280;2593;2514;4376;1227;4219;157;4174;3174;1527;1647;2612;558;461;799;686;606;622;520;1042;1000;45
2018;2. Quartal;StB 6 Leuben;1472;867;331;274;866;336;106;142;1468;1433;2521;754;2406;115;2382;1775;827;948;1624;151;288;426;348;345;368;335;532;607;24
2018;2. Quartal;StB 7 Prohlis;3907;2467;608;832;2463;630;261;484;3896;3820;6919;2097;6697;222;6638;4902;2701;2201;3542;1336;865;1315;1007;869;846;627;1236;1736;59
