Jahr;Herkunftsland_37Auspr;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2008;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;3281;10300
2008;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;4204;9015
2008;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;2268;4103
2009;Deutschland;Deutschland;Deutschland;Deutschland;1283241;2744519
2009;Belgien;Belgien;Europa ohne Deutschland;Ausland;6446;14758
2009;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;7016;17075
2009;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1754;3795
2009;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;11573;26312
2009;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2155;4163
2009;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1162;2898
2009;Italien;Italien;Europa ohne Deutschland;Ausland;17585;35194
2009;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1064;2686
2009;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;17318;41751
2009;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1752;3725
2009;Österreich;Österreich;Europa ohne Deutschland;Ausland;19592;44355
2009;Polen;Polen;Europa ohne Deutschland;Ausland;7578;13399
2009;Schweden;Schweden;Europa ohne Deutschland;Ausland;5372;8624
2009;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;20551;49619
2009;Russland;Russland;Europa ohne Deutschland;Ausland;8208;29032
2009;Spanien;Spanien;Europa ohne Deutschland;Ausland;7665;15736
2009;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;7869;14417
2009;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2367;5147
2009;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;895;3144
2009;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;16770;37484
2009;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;8449;20104
2009;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;1125;3376
2009;USA;USA;Amerika;Ausland;24092;66726
2009;Kanada;Kanada;Amerika;Ausland;3217;8173
2009;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;2513;5273
2009;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;947;1962
2009;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;1731;3655
2009;China;China;Asien;Ausland;5650;11965
2009;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;757;4891
2009;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;2075;5596
2009;Japan;Japan;Asien;Ausland;16754;32374
2009;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;1515;3379
2009;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;1131;2796
2009;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;756;2863
2009;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;2643;8980
2009;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;3754;8430
2009;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;2497;4143
2010;Deutschland;Deutschland;Deutschland;Deutschland;1384356;2891150
2010;Belgien;Belgien;Europa ohne Deutschland;Ausland;7145;15682
2010;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;7948;18645
2010;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2189;4642
2010;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;14531;30540
2010;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2053;3969
2010;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1112;2779
2010;Italien;Italien;Europa ohne Deutschland;Ausland;20069;36995
2010;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1420;3621
2010;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;17403;38812
2010;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2233;4447
2010;Österreich;Österreich;Europa ohne Deutschland;Ausland;22336;49255
2010;Polen;Polen;Europa ohne Deutschland;Ausland;10847;19235
2010;Schweden;Schweden;Europa ohne Deutschland;Ausland;5960;9432
2010;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;22538;53020
2010;Russland;Russland;Europa ohne Deutschland;Ausland;11049;35469
2010;Spanien;Spanien;Europa ohne Deutschland;Ausland;9203;19294
2010;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;10308;17078
2010;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3348;7315
2010;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1057;2750
2010;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;20417;44246
2010;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;12260;26093
2010;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;1369;3713
2010;USA;USA;Amerika;Ausland;27127;68074
2010;Kanada;Kanada;Amerika;Ausland;4117;8833
2010;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;4225;7524
2010;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1241;2626
2010;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;2047;3989
2010;China;China;Asien;Ausland;8232;14140
2010;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;738;2176
2010;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;2565;5988
2010;Japan;Japan;Asien;Ausland;18367;40532
2010;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;2327;5053
2010;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;1277;2926
2010;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;979;2376
2010;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;4379;12919
2010;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;5221;11322
2010;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;3302;5004
2011;Deutschland;Deutschland;Deutschland;Deutschland;1479716;3121996
2011;Belgien;Belgien;Europa ohne Deutschland;Ausland;7594;16808
2011;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;8841;21386
2011;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1908;4818
2011;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;13464;30165
2011;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1967;3970
2011;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1317;4804
2011;Italien;Italien;Europa ohne Deutschland;Ausland;17948;33215
2011;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1429;3973
2011;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;18585;42359
2011;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2268;4634
2011;Österreich;Österreich;Europa ohne Deutschland;Ausland;22907;50612
2011;Polen;Polen;Europa ohne Deutschland;Ausland;11598;19817
2011;Schweden;Schweden;Europa ohne Deutschland;Ausland;6255;10352
2011;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;25132;59678
2011;Russland;Russland;Europa ohne Deutschland;Ausland;13910;36282
2011;Spanien;Spanien;Europa ohne Deutschland;Ausland;8447;16275
2011;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;11311;18308
2011;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3417;6331
2011;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1903;3325
2011;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;21541;49991
2011;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;11966;24204
2011;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;1349;3519
2011;USA;USA;Amerika;Ausland;26671;71466
2011;Kanada;Kanada;Amerika;Ausland;4179;10501
2011;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;4415;7594
2011;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1278;2553
2011;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;2454;4857
2011;China;China;Asien;Ausland;8621;15143
2011;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;918;2990
2011;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;2130;5336
2011;Japan;Japan;Asien;Ausland;19192;47016
2011;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;2252;4597
2011;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;2229;4846
2011;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;1092;3266
2011;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;4809;14339
2011;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;5506;12051
2011;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;2411;4964
2012;Deutschland;Deutschland;Deutschland;Deutschland;1568687;3286402
2012;Belgien;Belgien;Europa ohne Deutschland;Ausland;7941;17460
2012;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;8420;20211
2012;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2430;5079
2012;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;14790;34146
2012;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1274;2754
2012;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1734;5171
2012;Italien;Italien;Europa ohne Deutschland;Ausland;19094;36829
2012;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1365;3717
2012;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;21095;47620
2012;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2904;5925
2012;Österreich;Österreich;Europa ohne Deutschland;Ausland;27336;59842
2012;Polen;Polen;Europa ohne Deutschland;Ausland;12923;21159
2012;Schweden;Schweden;Europa ohne Deutschland;Ausland;7048;11508
2012;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;30614;72632
2012;Russland;Russland;Europa ohne Deutschland;Ausland;20929;40581
2012;Spanien;Spanien;Europa ohne Deutschland;Ausland;10264;20128
2012;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;13701;20959
2012;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3720;9226
2012;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2555;4996
2012;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;22550;50613
2012;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;13626;27470
2012;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;1654;4627
2012;USA;USA;Amerika;Ausland;28596;71704
2012;Kanada;Kanada;Amerika;Ausland;4507;10002
2012;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;5460;10034
2012;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1408;2816
2012;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;2665;5053
2012;China;China;Asien;Ausland;12553;23078
2012;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;1079;2738
2012;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;2464;5849
2012;Japan;Japan;Asien;Ausland;21509;46084
2012;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;2788;5744
2012;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;2505;5070
2012;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;1329;4058
2012;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;6036;17838
2012;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;6266;13178
2012;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;2701;4722
2013;Deutschland;Deutschland;Deutschland;Deutschland;1597338;3351475
2013;Belgien;Belgien;Europa ohne Deutschland;Ausland;8533;19689
2013;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;7992;18477
2013;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2310;5142
2013;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;15819;34574
2013;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1123;2752
2013;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1128;3471
2013;Italien;Italien;Europa ohne Deutschland;Ausland;18781;37691
2013;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1580;4088
2013;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;20553;43265
2013;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3093;7209
2013;Österreich;Österreich;Europa ohne Deutschland;Ausland;25293;56299
2013;Polen;Polen;Europa ohne Deutschland;Ausland;14990;26462
2013;Schweden;Schweden;Europa ohne Deutschland;Ausland;6389;11561
2013;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;30535;72457
2013;Russland;Russland;Europa ohne Deutschland;Ausland;24893;49754
2013;Spanien;Spanien;Europa ohne Deutschland;Ausland;10819;20600
2013;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;14975;22423
2013;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3309;7370
2013;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3345;6420
2013;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;24715;53006
2013;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;17110;36619
2013;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;1915;5438
2013;USA;USA;Amerika;Ausland;30851;75855
2013;Kanada;Kanada;Amerika;Ausland;4779;12982
2013;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;6235;11657
2013;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1676;3264
2013;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;2833;5169
2013;China;China;Asien;Ausland;12101;25443
2013;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;1101;3165
2013;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;2603;6784
2013;Japan;Japan;Asien;Ausland;20158;40157
2013;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;3264;6501
2013;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;2696;4715
2013;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;1851;5513
2013;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;6361;13904
2013;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;7012;14805
2013;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;1100;1824
2014;Deutschland;Deutschland;Deutschland;Deutschland;1735996;3613288
2014;Belgien;Belgien;Europa ohne Deutschland;Ausland;8500;18396
2014;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;8350;19917
2014;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2408;5130
2014;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;15540;32413
2014;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1422;2941
2014;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2776;5742
2014;Italien;Italien;Europa ohne Deutschland;Ausland;18063;35393
2014;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1759;4485
2014;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;21776;47491
2014;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3335;6639
2014;Österreich;Österreich;Europa ohne Deutschland;Ausland;29539;64153
2014;Polen;Polen;Europa ohne Deutschland;Ausland;18573;33733
2014;Schweden;Schweden;Europa ohne Deutschland;Ausland;6318;10800
2014;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;33157;78612
2014;Russland;Russland;Europa ohne Deutschland;Ausland;25743;52278
2014;Spanien;Spanien;Europa ohne Deutschland;Ausland;10796;23957
2014;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;16952;27052
2014;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;4328;8138
2014;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3423;7612
2014;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;25588;56009
2014;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;17503;37650
2014;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;2006;5348
2014;USA;USA;Amerika;Ausland;35743;78537
2014;Kanada;Kanada;Amerika;Ausland;4909;10647
2014;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;6247;11652
2014;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1730;3557
2014;"sonst. nordamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;250;439
2014;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;3188;5883
2014;China;China;Asien;Ausland;14769;30990
2014;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;1680;5951
2014;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;3408;7770
2014;Japan;Japan;Asien;Ausland;17294;35372
2014;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;5734;9505
2014;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;3246;5882
2014;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;2419;5639
2014;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;6830;15175
2014;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;7228;15010
2014;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;1551;2710
2015;Deutschland;Deutschland;Deutschland;Deutschland;1663214;3429234
2015;Belgien;Belgien;Europa ohne Deutschland;Ausland;8074;18236
2015;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;8060;18727
2015;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2826;6081
2015;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;14148;30032
2015;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1286;3003
2015;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3366;6436
2015;Italien;Italien;Europa ohne Deutschland;Ausland;17347;34928
2015;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1337;2944
2015;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;20709;46724
2015;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3381;6956
2015;Österreich;Österreich;Europa ohne Deutschland;Ausland;27892;60501
2015;Polen;Polen;Europa ohne Deutschland;Ausland;20132;37168
2015;Schweden;Schweden;Europa ohne Deutschland;Ausland;7141;12153
2015;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;34649;81646
2015;Russland;Russland;Europa ohne Deutschland;Ausland;17807;37716
2015;Spanien;Spanien;Europa ohne Deutschland;Ausland;19012;45205
2015;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;18640;29446
2015;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;5407;11033
2015;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3992;7938
2015;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;25313;58614
2015;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;19062;37674
2015;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;1994;5417
2015;USA;USA;Amerika;Ausland;38028;85923
2015;Kanada;Kanada;Amerika;Ausland;5002;9977
2015;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;6926;12639
2015;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1456;2713
2015;"sonst. nordamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;288;546
2015;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;3746;7079
2015;China;China;Asien;Ausland;20805;44429
2015;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;1735;5258
2015;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;3566;8316
2015;Japan;Japan;Asien;Ausland;18303;32663
2015;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;7290;11802
2015;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;3902;6806
2015;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;2412;5852
2015;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;8680;18850
2015;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;7085;14594
2015;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;7426;13372
2016;Deutschland;Deutschland;Deutschland;Deutschland;1674521;3397780
2016;Belgien;Belgien;Europa ohne Deutschland;Ausland;8052;17069
2016;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;8228;18162
2016;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2547;5249
2016;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;14187;30944
2016;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1406;3459
2016;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3165;5540
2016;Italien;Italien;Europa ohne Deutschland;Ausland;15574;31797
2016;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1625;3663
2016;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;24081;53267
2016;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3146;6069
2016;Österreich;Österreich;Europa ohne Deutschland;Ausland;30484;72155
2016;Polen;Polen;Europa ohne Deutschland;Ausland;23645;46483
2016;Schweden;Schweden;Europa ohne Deutschland;Ausland;6156;10523
2016;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;34568;83238
2016;Russland;Russland;Europa ohne Deutschland;Ausland;16529;34578
2016;Spanien;Spanien;Europa ohne Deutschland;Ausland;17712;39338
2016;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;19477;30371
2016;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;4817;14084
2016;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;4661;9093
2016;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;23427;51969
2016;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;21840;42745
2016;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;1770;4544
2016;USA;USA;Amerika;Ausland;35216;78948
2016;Kanada;Kanada;Amerika;Ausland;4400;8871
2016;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;5878;10786
2016;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1528;2769
2016;"sonst. nordamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;380;854
2016;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;3956;8005
2016;China;China;Asien;Ausland;23938;38912
2016;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;1818;6131
2016;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;3240;6786
2016;Japan;Japan;Asien;Ausland;14426;27825
2016;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;7442;11457
2016;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;3045;5103
2016;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;2039;4506
2016;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;7027;13672
2016;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;6591;14503
2016;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;9772;21826
2017;Deutschland;Deutschland;Deutschland;Deutschland;1724363;3524165
2017;Belgien;Belgien;Europa ohne Deutschland;Ausland;8292;17417
2017;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;7519;15481
2017;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2973;5858
2017;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;14456;31416
2017;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1667;3911
2017;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2744;5178
2017;Italien;Italien;Europa ohne Deutschland;Ausland;14442;29853
2017;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1488;3155
2017;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;22837;49645
2017;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3286;6605
2017;Österreich;Österreich;Europa ohne Deutschland;Ausland;30018;66314
2017;Polen;Polen;Europa ohne Deutschland;Ausland;28060;54923
2017;Schweden;Schweden;Europa ohne Deutschland;Ausland;6975;12346
2017;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;32064;75362
2017;Russland;Russland;Europa ohne Deutschland;Ausland;24336;44915
2017;Spanien;Spanien;Europa ohne Deutschland;Ausland;13355;30860
2017;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;21475;33583
2017;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;5507;19127
2017;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;6413;10700
