Jahr;Fortzug / Zuzug;Wanderungstyp;Wanderungsgebiet;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Anzahl Einwohner
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;22
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;82
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;99
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;99
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;179
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;252
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;172
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;839
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;156
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;98
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;349
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;33
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;305
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;325
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;107
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;228
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;269
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;390
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;57
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;75
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;45
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;52
2011;Fortzug;Binnenwanderung;A1 Umzug innerhalb Stadtteil;42 Bühlau/Weißer Hirsch;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;205
